IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,FinalDescription,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode
173088-26122017,26/12/2017 22:47,2017,2017/18,Special Service,1,1,328,328,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT FROM A HOUSE,E05000048,EAST BARNET,E09000003,BARNET,Barnet,EN4
002162-05012018,05/01/2018 23:08,2018,2017/18,Special Service,1,1,328,328,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT,E05000407,COOMBE VALE,E09000021,KINGSTON UPON THAMES,New Malden,KT1
002912-07012018,07/01/2018 20:21,2018,2017/18,Special Service,1,1,328,328,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON LOCKED IN  KEYSAFE B3726,E05000449,NEW CROSS,E09000023,LEWISHAM,Deptford,SE14
003627-09012018,09/01/2018 13:41,2018,2017/18,Special Service,1,1,328,328,House - single occupancy ,Dwelling,1,No action (not false alarm),Service not required,BARIATRIC PATIENT - ASSIST LAS,E05000339,TOWNFIELD,E09000017,HILLINGDON,Hayes,UB3
013176-01022018,01/02/2018 13:41,2018,2017/18,Special Service,1,1,328,328,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,LAS IN ATTENDANCE 62 YEAR OLD MALE IN CARDIAC ARREST - UNABLE TO GET PERSON OUT,E05000047,COPPETTS,E09000003,BARNET,Hornsey,N10
014897-05022018,05/02/2018 13:19,2018,2017/18,Special Service,1,1,328,328,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,"FEMALE FALLEN BEHIND CLOSED DOORS - HOSPITAL STAFF ON SCENE, SHE IS SPEAKING TO THEM THROUGH BATHROO",E05000428,ST. LEONARD'S,E09000022,LAMBETH,Tooting,SW16
019486-16022018,16/02/2018 09:33,2018,2017/18,Special Service,1,2,328,656,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT-FROM 2ND FLOOR ALP X 1,E05011112,Rotherhithe,E09000028,SOUTHWARK,Dockhead,SE16
021710-21022018,21/02/2018 15:04,2018,2017/18,Special Service,1,1,328,328,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05000571,WANDLE VALLEY,E09000029,SUTTON,Mitcham,SM5
022522-23022018,23/02/2018 15:12,2018,2017/18,Special Service,1,1,328,328,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH BARIATRIC PATIENT - NURSING HOME - LOUGHTON APPLIANCE ATTENDING - TALK GROUP E,,,,,Essex,IG9
023378-25022018,25/02/2018 10:35,2018,2017/18,Special Service,1,1,328,328,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON STUCK IN BATH,E05000622,ST. MARY'S PARK,E09000032,WANDSWORTH,Battersea,SW11
024492-27022018,27/02/2018 14:28,2018,2017/18,Special Service,1,1,328,328,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,FULL EMERGENCY  AMERICAN AIRLINES OVERWEIGHT LANDING 14:37,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW6
028848-05032018,05/03/2018 22:51,2018,2017/18,Special Service,1,1,328,328,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT     LAS ON SCENE    LIFE THREATENING,E05011467,Crystal Palace & Upper Norwood,E09000008,CROYDON,West Norwood,SE19
029117-06032018,06/03/2018 16:01,2018,2017/18,Special Service,1,1,328,328,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT TL X 1,E05000641,MARYLEBONE HIGH STREET,E09000033,WESTMINSTER,Euston,W1U
030218-08032018,08/03/2018 20:20,2018,2017/18,Special Service,1,2,328,656,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT  - ALP X1,E05000195,CHASE,E09000010,ENFIELD,Enfield,EN1
044064-11042018,11/04/2018 06:09,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident - Co-responder,Medical Co-responder: Lift person,ASSIST LAS PERSON COLLAPSED BEHIND A DOOR,E05000188,SOUTH ACTON,E09000009,EALING,Acton,W3
050545-25042018,25/04/2018 10:59,2018,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LADY STUCK IN BATH,E05000408,GROVE,E09000021,KINGSTON UPON THAMES,Surbiton,KT1
057749-10052018,10/05/2018 09:33,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH HEAVY PATIENT - NEEDING URGENT MEDICAL ATTENTION,E05000214,ABBEY WOOD,E09000011,GREENWICH,Plumstead,SE2
060105-15052018,15/05/2018 09:30,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSN COLLAPSED BEHIND LOCKED DOOR    47 YEAR OLD MALE UNCONSCIOUS AND FITTING   LAS AND POLICE EN R,E05000337,PINKWELL,E09000017,HILLINGDON,Hayes,UB3
061816-18052018,18/05/2018 23:52,2018,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT,E05000098,QUEENS PARK,E09000005,BRENT,North Kensington,NW6
071320-05062018,05/06/2018 12:52,2018,2018/19,Special Service,1,2,333,666,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT IN CARDIAC ARREST   REMOVAL OF PATIENT LIFE CRITICAL,E05000484,FOREST GATE SOUTH,E09000025,NEWHAM,Stratford,E7
071913-06062018,06/06/2018 18:19,2018,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,No action (not false alarm),Service not required,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT FOR EMERGENCY TREATMENT   HART EN ROUTE,E05000429,STOCKWELL,E09000022,LAMBETH,Clapham,SW4
080549-23062018,23/06/2018 11:39,2018,2018/19,Special Service,1,3,333,999,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY FEMALE PATIENT - LEVEL TWO LINE OPS   FRU REQUESTED FROM SCENE    RVP WOODCOTE,E05011476,Purley & Woodcote,E09000008,CROYDON,Purley,CR8
091183-07072018,07/07/2018 19:19,2018,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVING 59 YR OLD FEMALE,E05000250,ADDISON,E09000013,HAMMERSMITH AND FULHAM,Hammersmith,W14
096931-15072018,15/07/2018 17:28,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,ASSIST LAS WITH HEAVY PATIENT     ALP REQUESTED WITH STRETCHER CAPABILITY,E05000614,FAIRFIELD,E09000032,WANDSWORTH,Wandsworth,SW18
111231-04082018,04/08/2018 15:11,2018,2018/19,Special Service,1,2,333,666,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT WITH HIP INJURY,E05000615,FURZEDOWN,E09000032,WANDSWORTH,Tooting,SW16
113550-07082018,07/08/2018 17:01,2018,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST LAS WITH HEAVY PATIENT,E05000212,UPPER EDMONTON,E09000010,ENFIELD,Edmonton,N18
114474-09082018,09/08/2018 10:37,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH MOVING HEAVY PATIENT,E05000113,COPERS COPE,E09000006,BROMLEY,Beckenham,BR3
120071-21082018,21/08/2018 17:42,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,BARIATRIC PATIENT TRAPPED INSIDE AT GROUND FLOOR LEVEL - LAS HART REQUEST ON SCENE - LIFE THREATENIN,E05000284,WOODSIDE,E09000014,HARINGEY,Tottenham,N22
128691-09092018,09/09/2018 00:35,2018,2018/19,Special Service,1,1,333,333,Hospital ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST STAFF WITH PATIENT THATS FALLEN OVER IN REAR CAR PARK   RENAL WARD,E05000562,ST. HELIER,E09000029,SUTTON,Sutton,SM5
129296-10092018,10/09/2018 11:18,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH CARRYING ELDERLY LADY FROM UPPER FLOOR,E05000314,HEATON,E09000016,HAVERING,Harold Hill,RM3
131061-14092018,14/09/2018 08:48,2018,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - Confined space - atmosphere not noxious ,ASSIST LAS IN REMOVING BARIATRIC PERSON STUCK IN BATH,E05000088,DOLLIS HILL,E09000005,BRENT,Willesden,NW2
131284-14092018,14/09/2018 18:11,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT LAS X 3 ON SCENE,E05009325,LANSBURY,E09000030,TOWER HAMLETS,Poplar,E14
132960-18092018,18/09/2018 06:54,2018,2018/19,Special Service,1,4,333,1332,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH LIFTING BARIATRIC PATIENT  LAS AND HART TEAM ON SCENE,E05000225,PENINSULA,E09000011,GREENWICH,East Greenwich,SE10
136605-25092018,25/09/2018 11:51,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH A DIFFICULT REMOVAL OF PATIENT FROM THE PROPERTY,E05011233,West Heath,E09000004,BEXLEY,Bexley,DA7
137841-27092018,27/09/2018 18:33,2018,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Removal of objects from people,Removal of object from person - limb trapped,ASSIST CARER WITH BARIATRIC PATIENT WITH TRAPPED HAND,E05000603,LEA BRIDGE,E09000031,WALTHAM FOREST,Leyton,E10
138225-28092018,28/09/2018 15:37,2018,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,BARIATRIC PERSON TRAPPED IN MOBILITY SCOOTER  AMB BEING REQUESTED TO ATTEND,E05000611,BEDFORD,E09000032,WANDSWORTH,Tooting,SW17
141313-04102018,04/10/2018 16:21,2018,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE TO REMOVE HEAVY PATIENT,E05011486,THORNTON HEATH,E09000008,CROYDON,Norbury,CR7
147627-18102018,18/10/2018 10:18,2018,2018/19,Special Service,1,2,333,666,Hospital ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT - POLICE AND LAS ON SCENE CALLED X LAS - WILL REQUIRE FORCIBLE REM,E05011244,GOODMAYES,E09000026,REDBRIDGE,Ilford,IG3
150680-24102018,24/10/2018 10:03,2018,2018/19,Special Service,1,1,333,333,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ASSIST POLICE WITH BARIATRIC PATIENT  NEAR JUNCTION OF MITCHLEY AVENUE,E05011477,PURLEY OAKS & RIDDLESDOWN,E09000008,CROYDON,Purley,CR8
150878-24102018,24/10/2018 14:52,2018,2018/19,Special Service,1,2,333,666,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT - ON SCENE - AL X 1,E05000130,CAMDEN TOWN WITH PRIMROSE HILL,E09000007,CAMDEN,Kentish Town,NW1
155304-02112018,02/11/2018 18:07,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT SUFFERING CARDIAC ARREST,E05011488,WEST THORNTON,E09000008,CROYDON,Norbury,CR7
158545-08112018,08/11/2018 16:51,2018,2018/19,Special Service,2,6,333,1998,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT FROM 5 TH FLOOR FLAT  SUFFERED CARDIAC ARREST         TL REQ FROM ,E05000426,OVAL,E09000022,LAMBETH,Lambeth,SW8
161119-14112018,14/11/2018 11:20,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF BARIATRIC PATIENT SUFFERING CARDIAC ARREST    TL X 1,E05000420,COLDHARBOUR,E09000022,LAMBETH,Brixton,SW9
162448-17112018,17/11/2018 12:09,2018,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,"ASSIST POLICE GAIN ENTRY - LAS EN - ROUTE,",E05000217,COLDHARBOUR AND NEW ELTHAM,E09000011,GREENWICH,Eltham,SE9
175192-15122018,15/12/2018 11:52,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT,E05000112,CLOCK HOUSE,E09000006,BROMLEY,Beckenham,BR3
179917-26122018,26/12/2018 14:56,2018,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT TL X 1,E05000638,LANCASTER GATE,E09000033,WESTMINSTER,Paddington,W2
180379-27122018,27/12/2018 18:41,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF  PATIENT,E05000184,NORTHOLT MANDEVILLE,E09000009,EALING,Northolt,UB5
181118-29122018,29/12/2018 19:52,2018,2018/19,Special Service,2,5,333,1665,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH CRITICAL PATIENT  - ASSISTANCE REQUIRED AS PATIENT IS A HOARDER,E05011230,SIDCUP,E09000004,BEXLEY,Sidcup,DA14
181818-31122018,31/12/2018 13:11,2018,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT  LAS ON SCENE,E05000570,WALLINGTON SOUTH,E09000029,SUTTON,Wallington,SM6
005479-14012019,14/01/2019 06:09,2019,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Breathing difficulties / Respiratory arrest ,ASSIST LAS WITH REMOVAL OF BARIATRIC CASUALTY          71 YEAR OLD  FEMALE SUFFERING WITH SEPSIS  LI,E05009396,GOLBORNE,E09000020,KENSINGTON AND CHELSEA,North Kensington,W10
005650-14012019,14/01/2019 17:14,2019,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,FIRE ALL OUT BRIGADE REQUIRED TO CHECK POLICE ON SCENE,E05000094,KILBURN,E09000005,BRENT,West Hampstead,NW6
012373-30012019,30/01/2019 16:38,2019,2018/19,Special Service,1,3,333,999,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH BARIATRIC PATIENT NEEDING EMERGENCY TREATMENT TL REQ FROM SCENE - ENTER VIA BROCKLEH,E05000449,NEW CROSS,E09000023,LEWISHAM,New Cross,SE14
016407-09022019,09/02/2019 06:14,2019,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PERSON STUCK IN CHAIRLIFT,E05000368,CALEDONIAN,E09000019,ISLINGTON,Islington,N1
016855-09022019,09/02/2019 23:46,2019,2018/19,Special Service,1,1,333,333,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,FULL EMERGENCY  AIR CONDITIONING PROBLEM OVERWEIGHT LANDING ETA 2359,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW6
018700-14022019,14/02/2019 13:04,2019,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,PERSON TRAPPED IN RECLINING CHAIR - LAS ON SCENE,E05000115,CRAY VALLEY WEST,E09000006,BROMLEY,Orpington,BR5
019606-16022019,16/02/2019 18:11,2019,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS  -  INTOXICATED BARIATRIC PATIENT WITH HEAD INJURIES  WHO HAS FALLEN DOWNSTAIRS AL X1 REQ,E05000437,BELLINGHAM,E09000023,LEWISHAM,Forest Hill,SE6
021347-20022019,20/02/2019 20:03,2019,2018/19,Special Service,1,1,333,333,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS IN REMOVAL OF PATIENT FROM TOP FLOOR OF BUS O/S SAINSBURYS,E05000085,ALPERTON,E09000005,BRENT,Wembley,HA0
024366-27022019,27/02/2019 15:56,2019,2018/19,Special Service,1,2,333,666,Lorry/HGV ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH ILL BARIATRIC PATIENT STUCK IN LORRY     JO WITH ST MARYS LANE ALP X 1 REQUESTED FRO,E05000323,UPMINSTER,E09000016,HAVERING,Hornchurch,RM14
024763-28022019,28/02/2019 13:29,2019,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF A BARIATRIC PATIENT,E05000186,NORWOOD GREEN,E09000009,EALING,Southall,UB2
026302-04032019,04/03/2019 09:04,2019,2018/19,Special Service,1,2,333,666,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF BARIATRIC PATIENT - NON LIFE THREATENING H361 TO ASSESS INCIDENT ON ADVIC,E05000458,CRICKET GREEN,E09000024,MERTON,Mitcham,CR4
027368-06032019,06/03/2019 20:00,2019,2018/19,Special Service,1,4,333,1332,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT - HP REQUESTED FROM INCIDENT 3RD FLOORS NARROW STAIRS     LAS ON S,E05011232,THAMESMEAD EAST,E09000004,BEXLEY,Erith,SE2
028496-09032019,09/03/2019 16:40,2019,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND LOCKED DOOR,E05000427,PRINCE'S,E09000022,LAMBETH,Lambeth,SE11
031267-15032019,15/03/2019 10:21,2019,2018/19,Special Service,1,1,333,333,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT STUCK IN STAIRLIFT,E05000335,NORTHWOOD,E09000017,HILLINGDON,Ruislip,HA6
032225-17032019,17/03/2019 08:40,2019,2018/19,Special Service,1,1,333,333,Passenger plane ,Aircraft,1,Stand By,Stand by - Aircraft landing,FULL EMERGENCY    BA AIRCRAFT OVERWEIGHT LANDING,E05000331,HEATHROW VILLAGES,E09000017,HILLINGDON,Heathrow,TW6
034096-21032019,21/03/2019 18:02,2019,2018/19,Special Service,1,2,333,666,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LOCAL AUTHORITY AND LAS WITH REMOVING BARIATRIC PATIENT FROM 21ST FLOOR  LOCAL AUTHORITY HAVE,E05000492,STRATFORD AND NEW TOWN,E09000025,NEWHAM,Stratford,E15
034169-21032019,21/03/2019 20:12,2019,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Advice Only,Advice given only,ASSIST LAS WITH BARIATRIC PATIENT,E05000184,NORTHOLT MANDEVILLE,E09000009,EALING,Northolt,UB5
036170-26032019,26/03/2019 15:19,2019,2018/19,Special Service,1,1,333,333,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVING PATIENT FROM THIRD FLOOR,E05000381,TOLLINGTON,E09000019,ISLINGTON,Holloway,N4
038489-31032019,31/03/2019 11:07,2019,2018/19,Special Service,1,1,333,333,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT WITH LIFE THREATENING CONDITION,E05011485,SOUTH NORWOOD,E09000008,CROYDON,Woodside,SE25
040705-05042019,05/04/2019 15:20,2019,2019/20,Special Service,1,1,339,339,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE REMOVING PATIENT FROM ADDRESS  RADIO OPS03 SHORT CODE 856*,,,,,Surrey,TW18
041932-08042019,08/04/2019 15:47,2019,2019/20,Special Service,1,1,339,339,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,H352 RUNNING CALL ASSIST WITH FIRST AID TO MEMBER OF THE PUBLIC FOLLOWING A FALL,E05000610,BALHAM,E09000032,WANDSWORTH,Tooting,SW12
042319-09042019,09/04/2019 13:32,2019,2019/20,Special Service,1,1,339,339,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT FALLEN THROUGH LOFT CEILING,E05011489,WOODSIDE,E09000008,CROYDON,Woodside,CR0
045138-15042019,15/04/2019 18:57,2019,2019/20,Special Service,1,2,339,678,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT       LAS ON SCENE -  SECOND FLOOR     25 STONE 70 YEAR OLD FEMALE,E05000215,BLACKHEATH WESTCOMBE,E09000011,GREENWICH,East Greenwich,SE3
053616-02052019,02/05/2019 19:44,2019,2019/20,Special Service,1,2,339,678,House - single occupancy ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - From height,ASSIST LAS WITH BARIATRIC PATIENT  TL X 1 REQUESTED FROM SCENE,E05000098,QUEENS PARK,E09000005,BRENT,North Kensington,NW10
053701-02052019,02/05/2019 23:35,2019,2019/20,Special Service,1,1,339,339,Hospital ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST WITH BARIATRIC PATIENT  FOLLOWING SURGERY  PATTERSON BUILDING - ENTER SOUTH WHARF ROAD,E05000636,HYDE PARK,E09000033,WESTMINSTER,Paddington,W2
056200-08052019,08/05/2019 03:52,2019,2019/20,False Alarm,1,1,339,339,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,NULL,NULL,AFA ACTUATING - HOARDER AND HEAVY SMOKER   UNABLE TO GET RESPONSE - MADE PERSONS REPORTED,E05000591,CATHALL,E09000031,WALTHAM FOREST,Leytonstone,E11
057110-10052019,10/05/2019 12:51,2019,2019/20,Special Service,1,2,339,678,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS REMOVE A BARIATRIC PATIENT - ALP REQUESTED FROM SCENE,E05011478,SANDERSTEAD,E09000008,CROYDON,Purley,CR2
058496-13052019,13/05/2019 12:56,2019,2019/20,Special Service,1,1,339,339,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH EXTRACTION OF PATIENT,E05009391,CHELSEA RIVERSIDE,E09000020,KENSINGTON AND CHELSEA,Chelsea,SW10
059135-14052019,14/05/2019 17:22,2019,2019/20,Special Service,1,2,339,678,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT WITH RESPIRATORY DISTRESS    TL REQ FROM SCENE,E05000425,LARKHALL,E09000022,LAMBETH,Clapham,SW8
063033-22052019,22/05/2019 05:02,2019,2019/20,Special Service,1,1,339,339,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON INJURED BEHIND LOCKED DOOR. LAS ON SCENE.,E05011101,DULWICH WOOD,E09000028,SOUTHWARK,Forest Hill,SE22
063907-23052019,23/05/2019 14:15,2019,2019/20,Special Service,1,2,339,678,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH REMOVAL OF A BARIATRIC PATIENT   WINDOW NEEDS REMOVING,E05000197,EDMONTON GREEN,E09000010,ENFIELD,Edmonton,N9
065976-27052019,27/05/2019 03:46,2019,2019/20,Special Service,1,4,339,1356,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Other condition,ASSIST LAS WITH BARIATRIC PATIENT WITH LIFE THREATENING CONDITION  - ALP X 1  -  LINE OPS LEVEL TWO ,E05000326,BRUNEL,E09000017,HILLINGDON,Hillingdon,UB8
071723-07062019,07/06/2019 13:34,2019,2019/20,Special Service,1,1,339,339,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH BARIATRIC PATIENT LAS ON SCENE,E05000467,POLLARDS HILL,E09000024,MERTON,Norbury,CR4
071739-07062019,07/06/2019 14:13,2019,2019/20,Special Service,1,1,339,339,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH DIFFICULT EXTRACTON   MALE HAS DIFFICULTY BREATHING,E05000113,COPERS COPE,E09000006,BROMLEY,Beckenham,BR3
